"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.084171000E-1,1.941992342E-1,6.460847855E-1,2.918581009E0
4.134116830E-1,2.649438679E-1,7.541713715E-1,2.129708767E0
4.184091310E-1,2.988742292E-1,8.395891190E-1,1.381965995E0
4.234093910E-1,4.236378670E-1,8.291120529E-1,7.175883055E-1
4.284122040E-1,6.353074312E-1,8.467779160E-1,2.375631332E-1
4.334168910E-1,9.819727540E-1,7.856502533E-1,-4.843974113E-2
4.384234020E-1,1.383397222E0,6.205968857E-1,-6.003689766E-2
4.434312140E-1,1.538399816E0,4.026393890E-1,2.133219242E-1
4.484398080E-1,1.602114677E0,1.442251205E-1,6.096651554E-1
4.534486620E-1,1.722807527E0,-2.229928970E-1,9.479621649E-1
4.584575160E-1,1.843676090E0,-6.293954849E-1,1.089923859E0
4.634549120E-1,2.090529680E0,-1.008468628E0,1.211153626E0
4.684517870E-1,2.438921928E0,-1.408085823E0,1.340614200E0
4.734486620E-1,2.840502501E0,-1.664886475E0,1.500368953E0
4.784455370E-1,3.240285873E0,-1.688168526E0,1.522199988E0
4.834424120E-1,3.779720068E0,-1.767399788E0,1.571638465E0
4.884392870E-1,4.235659122E0,-1.868511200E0,1.803761244E0
4.934361620E-1,4.834828854E0,-1.945600510E0,2.418549776E0
4.984330370E-1,5.348942280E0,-1.884690285E0,3.138411522E0
5.034299120E-1,5.764157772E0,-1.805076599E0,3.787608862E0
5.084267870E-1,5.937063217E0,-1.827579498E0,4.266771793E0
5.134236620E-1,5.783701897E0,-1.974694252E0,4.510848045E0
5.184205370E-1,5.538488865E0,-2.249936104E0,4.553090096E0
5.234174120E-1,5.357635498E0,-2.607039452E0,4.450119019E0
5.284142870E-1,5.089199543E0,-3.064321518E0,4.291335106E0
5.334111620E-1,4.903108597E0,-3.497543335E0,4.120002747E0
5.384080370E-1,4.720426083E0,-3.826421738E0,3.924590588E0
5.434049120E-1,4.780638218E0,-4.058970451E0,3.766505241E0
5.484017870E-1,4.808427334E0,-4.151060104E0,3.583714008E0
5.533986620E-1,4.784650803E0,-3.961525917E0,3.423587799E0
5.583955370E-1,4.467671394E0,-3.613956451E0,3.392637253E0
5.633924120E-1,3.764385462E0,-3.221014023E0,3.740314960E0
5.683892870E-1,3.348456860E0,-2.877523422E0,4.395089626E0
5.733861620E-1,3.367419243E0,-2.769948959E0,5.176526546E0
5.783830370E-1,3.514160395E0,-2.834020615E0,5.960801125E0
5.833799120E-1,3.895591736E0,-3.034534454E0,6.622449398E0
5.883767870E-1,4.459738255E0,-3.334462166E0,7.037441254E0
5.933736620E-1,4.659581184E0,-3.733443260E0,6.866388798E0
5.983705370E-1,5.102915287E0,-4.105475426E0,5.934283257E0
6.033674120E-1,6.762692451E0,-3.902887344E0,5.076838493E0
6.083642870E-1,5.701432705E0,-4.922592163E0,3.814761639E0
6.133611620E-1,4.596900940E0,-5.644361496E0,2.713269711E0
6.183640790E-1,6.006909370E0,-4.519884109E0,2.494518995E0
6.233565790E-1,4.393017292E0,-5.102330208E0,1.923862934E0
6.283442870E-1,2.019623995E0,-5.529447556E0,2.250754356E0
6.333324640E-1,4.243698716E-1,-5.096591949E0,2.454020500E0
6.383215790E-1,-8.797584772E-1,-4.397275925E0,3.009654045E0
6.433119430E-1,-8.960943222E-1,-3.799532890E0,3.633676052E0
6.483036100E-1,-2.091630101E-1,-3.364440918E0,4.212892056E0
6.532967870E-1,4.726240635E-1,-2.765233994E0,4.591096878E0
6.582915270E-1,1.104637861E0,-2.373972893E0,5.176485062E0
6.632878290E-1,8.697187901E-1,-2.034674644E0,5.095021725E0
6.682856930E-1,3.891046047E-1,-1.806647301E0,3.609465599E0
6.732851200E-1,3.826348782E-1,-1.898434639E0,1.426854610E0
6.782859020E-1,7.313305140E-1,-2.048633575E0,-6.163325310E-1
